filename,sha256,git_blob_sha1
1102.parquet,5e9365cb24f055b1e3eec6e654d693f752235d8bc43191436932995952a1cb2b,48e95ef3c07d2a0e88e172977cfa9d5163e583fe
1104.parquet,2c8aaea7266b4f4a7579d81160109c08767d780d62c08161c6779dc77555786f,6b653e0bfd04533a6b5aec8f74ed17cb45e57d81
1210.parquet,cae60eb5dad5531c2eddbacad99d47ec2d10b965856ecbcf0b79d2583a6c3a93,c1d90a0850b5c69bebafda39aa65d83a02e18426
1215.parquet,6b0ff1338bf15d35e0c62008c90b459b30475352ee37b4acc81f143af5b33a28,e56403006ee9424f0cb9f0a9c980484a0633401c
1216.parquet,4e75ae7e5f9f82b399909a188a885b549f672dd8ea4f21b7c38f5649eb26b2a7,25f630968cd108d3a994784903b93907e4c910a8
1218.parquet,552af78672244aa627aee94a35de0d4db361420f29e7cb2fc86912bccb7bfe96,6f3a337792858e61894944e0b0b28d67ad587e02
1219.parquet,f9f825875b3ca99e0262f75a08c51dd2d638e4e1edee34d49bfa00439ba6a230,97f09ceadf615c385314f4312c78d8f1a1e15152
1227.parquet,c6fb8e65a0b030265ad54d9594f30ad211a10b3c758d4d760e91c515165c2ba3,8e817784437d1f239b07e6cd8e443b60a1853e1e
1229.parquet,39b97800e9ede67a4eea214a879140cbedfbb5de0157df012578be3ef13fa95b,335e945d5c80bfbc3d96c3ac59f96cd5617e031f
1231.parquet,2d563289e7b562b20bdbfddf5032dd40356f98bdc1db795ed169085d43c56efb,35f0ed89f3af628452efe5c3409d419eafc647c1
1232.parquet,d58994b0d783af3e39a4682f79af6690fbbbdce323fa03dbbe2ad185bcd0607e,90b8e052827af001455a71198265cdef533fb09d
1256.parquet,939a367f7317c3657ef0cbe8325b76a1c3be88a31b23c1b5d17765365e20bdd2,7496e46c009b847868b002eb7c5d151ffdebf572
1264.parquet,baa474b188ba21b3f243d4a0f57d4a4181d5f34112838d29a4276a920aa13de5,20fde0c79839451c2b6ca25e3017685f314f997f
1294.parquet,1867f7330072303db0718977627c3d1e4aaeab593ec742b555f630971267714c,88387725cf0c13adb7fe8c52a5caddbd074e170d
1303.parquet,616c03d2b89bebe67a6cc3779a8a1d2064fdee6e21adf5ef3f00535dd38203cb,b6ecec75f7340c9b1c082384cca42d8ecbc77717
1307.parquet,fd37544fd871689ab825401648466c6bf3f0bbc460f79d6476d91c4013af6f41,f7ef4ac15bb96de3863377cba204148c0bc57723
1319.parquet,f6b465c679cbc4c5c3111a9a5ca8abcbeedb5a326ab44f28b1099a464cdad2ba,e7cc2dfb0503945cd2a307feb1b10486d6f26782
1326.parquet,a32e25e262c0ee6837bc8e6319706573f032ebad2f52ff4488fe1b21d01fe32c,f2a46e9fe9ca422754d2e7d77c9660b900ccc3a1
1342.parquet,ccd7675b0bab6a90d7ffc9471cf52d9096295e6aaadbc928de4b8350265dab16,dc59356bcfbc4c088c50edb99c4ff42604ccac68
1402.parquet,1ada09a52510bf7ca0e39a0ed100628ebad3744b2ef74794e2161928e5f77fbe,35aab4221a6b6ed8cbc1d9be014e5a849c2461c9
1409.parquet,c9c292680574cf68356a6567739bf15ae7954882b78cb15d1af4943504f758dc,6e4a728f65dff4e1f30f62f51d2c5028bc2760ad
1419.parquet,34b803c1f51cfc7820493b3ac8725c2e9b141ea6130fbdc09e5504cbb8024cb0,0126196ac87d3a73f4b2370c5ea3de2e5bd31cc9
1434.parquet,538ec7bff00d861189c3d5ee201d3716420e0427cea6213876cd7a7dd33fa369,d2845b95c4cc77823ace90517b6c12869c8c01cf
1436.parquet,5a9fb461cc335976293f29c8a8e01a0f9e6e9981a984db6bc876b72faa37ee40,f8e6f024f596b9c037f96fecff169eeb0d9737d0
1440.parquet,2846c02a8377c7127d898b8da2ef3b3ae40752575fb128d98d7d4dcd7d5dd280,7decfbae2924aea73f5021fbfeec0148d2e399d7
1442.parquet,a44689b8813ce9a41fdb5dd27b99fe5fbdb3e2a320049aac0c0aa02d2f408c97,e364ce7945f5f78e8a6b0ddb9e9738499a0cc1fe
1455.parquet,8c0844c74c4a78e2bb5a38e81d5958bce856633bebc0be0ae12f1fc2803b9fe2,4d78183966d590dca49a60adde2949e1ab275e9c
1476.parquet,9647bcb6117adfe7244da7232ba5f910d30afdd325acc88d0d960c986df697eb,cffdcb4575248705aa480382a295aebcf534e835
1477.parquet,2b30fd713d957d50ecb5f2566633809b06513b6608bb8cb9c8f7d5b9fe81086a,56bea35d3717a3fb97d87b60d268be9df8300a07
1503.parquet,7c358743875e5faece84b462fe522be3edcd98a266060dfd0b4e47523ddd33c6,d875cdd8b59abe4aebbcf5423bf7437b068db30a
1504.parquet,6ce5455ba000de1b6cacebd65dbcc4f18673549bd2bd9247059e37df22e24a5c,284c9bc5050ec5251a52094e9ee5ccaecace72fc
1513.parquet,9ff517a6bef4b7aa4320bfc0bebe31d858492d1bcccea3ea0a6f9844e94ce2a0,9ff44f5272bc02cb403bb40846cce2f2233dceac
1514.parquet,3df8b8b194d483e6aca87af9a43925dea9477c76fd16480dfd7d1ff5d7080d82,de432884aab2117d8bb08a5b7f41a68bda8b08ae
1515.parquet,35394c88f5594d951f559dbd878be7a331515c9ad235434c6763cb7eca21da71,f62175d8debcbb4861f16ade77a0964bcb2f27f7
1519.parquet,1335a9b71900a775bda69e5c15317ee3009056f7a4a330c20a14149372ead1a6,c8119760a0dfda5bddf4230bb92d4d3a1bcba8a5
1522.parquet,8d986ac12199f16d9fb50af2e452d071dc1ef58227c3f78f46c27855332f10cc,d4d9550fbc51bb889425ff99c33132a85a115afe
1524.parquet,b8c65d25f77e3e0abaf40e0ed86e16bfda924d1a168ed3681f68ee7bc344a9d0,1e1a8746730ad5583cadee846b300f5052adc200
1529.parquet,47f6b95ace40b9d025a8fa19c519d0ea7b39dbd76c598025553f06d9f8629c1c,c0d175fa7b183c267d78ec09ec6f0ec1b0e2034e
1532.parquet,13a166cd4162207c3deb87c486e843a68bb48664609f65643f815a21c0cc38b2,0698f0ca873c3abbb1e552fbef1cf94c9cccecaf
1537.parquet,91c24b8615e7b97adabb77e3d4b02c39df3c7fb9937e3b804cea0f7d1bde9865,b63b0ba215f65eda345fbc13a1df6ce305ab3638
1540.parquet,77276f324947939d8121215c57cda803b4ad6e33d70b499d4ca27982d9a35a27,904660b8170d1afaeb3a73b33f8ddc2b471034f8
1558.parquet,ec9cfe8957043bd633af82ea452cadc41e3c71353679eb551b45f85521f4eb62,87f316e3ad14780f2e6ee9ba89fbd9d1aab65191
1560.parquet,32c7b699fb8fad944423742b44ce6362a928799e34054e663134d1c07a50c7e9,7e822b3af7c8c41abdf6304d791d28a793bcbd5e
1563.parquet,4a862835cf1b7ddf39a61b519068a0712874b9f5b4b84b9d210ac3580b2e523a,680a69c04af782b52179109b954c920b11e0c052
1565.parquet,943450d694ba22b203df1a67920109815ec981f95bb6f53e6d3b15e99ecc82da,d7533ac8104f9c3f9565ced3afae3d3bcf420308
1568.parquet,84a63d153f7f03089ed87c504462d83a100d57a4d1a4ac95908981ac9580438e,359fd819b8ac4f18cc3ac0c86c6bf2e7d546694f
1580.parquet,1203386ee8c0932c54da6024961ad704f742f6e4ff3fabd9e35b67dade26f496,c04399f2b8083a6a5127fc5837ef94cec3f78cb6
1582.parquet,99c33533666739efa0ae19c93226ea9fcdfcb03ca60c7d8e4631299fbf77f695,2b8c485e61ae05f4ca8dff57082ef56ab1fba6ec
1584.parquet,1cc7fe163c291abc2aacd0cb561ea454d1a5cb9359172114ff72e8ebbaba729f,8501a172af24110065e2c92afe905291005a3a4e
1586.parquet,bb93076c04dee6b16de1fa23dff17a7374771a329604bf4931147428ccf0d92e,ad69e0062066e319782960628901ee83cbc3593b
1590.parquet,2389bf69ff2fbc3ddcc0d9f3a2bd88b7bd9c47fce669562a0d43b50d8ae36ec3,6e841d0f287da000090e9b79b67606fabde735e2
1597.parquet,95f71fede2d949e27a61b43717571bbd638fa33278d20e24aaab4fc7ddd623f0,fd5061ea029cfdab8d5c38eac8369fc36c377591
1603.parquet,829429655c3c7ef40b59348da7b4a7734374aa997448102d8a55831fceac4512,e2d5f51a3e8041b02b02e0b8ec1b2c0a21479b7d
1604.parquet,f51dcebe25300f4f8cb3e90d12fb986324ef8e69df418d46f1645785de8da905,4cc18ede2e7c48a4c48c0ba9197050a105ebdd09
1605.parquet,75cccff1b181c0f0ec3d4b368fb5ce9a24ac2f628d3fb7fa3d4a480b086d1a58,8889e5c9679558213f4600b073e6935102011ca9
1608.parquet,c6d38bba729dff5ec5bf291fa2acd69ab1ab85185e5c00363ff1c24eda17dc70,f3158f4d1f9bd913cba1c833eb71ad20e057915a
1609.parquet,c6d63897d0a71e6dd349e51115081513bb493b35ad3bdfadddd67aa0a7c500c3,04ec6932aa69181b1927e2e13fb13dc7153d04c8
1611.parquet,ad20399c5f45e39af3d7e2658702246de0662e0f3955f4cebd1e3f15e5af00b9,86afa3676026612db71afe71fb762289a4cbd8a2
1612.parquet,fb74d8df85debda417db2376a396364336ff0275d3fbf2866aa5cb751dcbc617,9e7dc18e344eb4c7026ea04e53a894dc6a7b4f9d
1615.parquet,d456db5a35a32fd85453cffa4481b8a163ba838c361db5ea481c93bc86f34609,cdf2a8a801b014a2a67f4a149625308b99a81419
1616.parquet,31525931a8804bcc05fb16d6a67cc63a7ebefd3f974c69d0d659e348342acb71,50a5244628ef3bcba0f51c3a7036ddebe70c41c1
1617.parquet,0fd42888c6a9409c245ae9fb9c5e75bd34739047f0c1ef0a7362b211e0b53066,213c5dcc50b1d3e7642e675c6ddc613074b55778
1623.parquet,a7529649b95e76083245fe17b5582d1e0f21ce048bd2a3b9ca47fc8f00e55021,9b5c8abf0f6487d790e80287685756a18fe8606d
